,id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
0,7b9f5be8-bdae-4d33-be7e-7df03eee1c8d,0,"""中华人民共和国国家生态环境标准""","""生态环境部""",中华人民共和国国家生态环境标准是由生态环境部发布并实施的一系列环境规范。作为中国环境保护领域的权威机构，生态环境部负责制定、颁布和执行这些国家标准，以确保环境保护工作的规范化和标准化。两份描述均明确指出生态环境部在该标准体系中的核心作用，即同时承担发布和实施双重职能，表述内容一致且互为补充，共同构成了对该标准制定体系的完整说明。,18.0,14,"['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17'
 '11138cf5eb76ca54bcf11c9bccaba2afc3f1249e1be589a494d428f561ee4fc7c4023d8c8f713548e4f6c0916846e42a0b271bab333cf6594656873a23bbb389']"
1,9729f716-0e06-4f5e-a872-d4f5fb4471c3,1,"""中华人民共和国国家生态环境标准""","""HJ 1172—2021""","""HJ 1172—2021是中华人民共和国国家生态环境标准的一部分，专门规范生态系统质量评估。""",1.0,8,['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17']
2,c544ac23-2edf-4432-9383-86a8d8efb313,2,"""生态环境部""","""环境标准研究所""","""生态环境部与环境标准研究所合作，后者负责审校和排版标准文本。""",8.0,12,['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17']
3,b7565434-1e40-4bd8-9f9f-de36311d8699,3,"""生态环境部""","""全国生态状况调查评估技术规范""",生态环境部作为国家生态环境保护的行政主管部门，负责制定并发布了《全国生态状况调查评估技术规范》。该技术规范的发布旨在为全国范围内的生态状况调查与评估工作提供统一的技术指导和标准依据，确保调查评估工作的科学性和规范性。两项描述内容一致，均强调了生态环境部在该技术规范制定与发布过程中的主导作用。,10.0,35,"['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17'
 'aa3aea36a9e7b7b29d0121e8226848ae2c79e6420a4e900710645b64b34be3ee9c5d7709abf75f27780c9940c32d64ec1c479c3b2ef8dbf81809ffc479bdddca']"
4,ce2915ec-4b6b-4b65-9a5a-54dd0c93a623,4,"""环境标准研究所""","""HJ 1172—2021""","""环境标准研究所参与审校和排版HJ 1172—2021标准文本。""",1.0,6,['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17']
5,19c268ad-1076-4fa0-9513-b1f221765c52,5,"""HJ 1172—2021""","""生态系统质量评估""","""HJ 1172—2021标准具体规定了生态系统质量评估的技术流程和方法。""",10.0,19,['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17']
6,46c1f79f-6453-4dae-821b-fb7648fcb9b1,6,"""中华人民共和国环境保护法""","""全国生态状况定期遥感调查评估方案""",《中华人民共和国环境保护法》是中国环境保护领域的基础性法律，为生态保护与污染防治提供了法律框架。作为其配套实施文件，《全国生态状况定期遥感调查评估方案》严格依据该法及相关法律法规制定，旨在通过定期遥感监测和评估体系，具体落实环境保护法的法定要求。两份文件呈现明确的从属关系：环境保护法确立基本原则与法律义务，评估方案则通过技术手段（如遥感调查）和标准化流程将其转化为可操作的生态监管机制。描述中不存在实质矛盾，均强调评估方案的法律依据性（直接援引环境保护法）与功能定位（作为贯彻该法的具体工具），共同构成中国生态环境监管的法律-技术协同体系。,27.0,10,"['0290faec8c84536aecaf0c3b75df845068680594745d4998f81eb60e96d643fbf3ff72bf6c9391867f9c053683f267b1c49e490e1726a92c93a1072331e8327a'
 'bac5fa73a474486b1c5f3e5f58004c2c2b53113abd171f89fc4815e8cc9b0f63ebb7d40ee5842d6adc551394f1b4ef06eae4a01aa4fdf6dfea28bbadf5bb6117']"
7,a088ac66-9a67-45e1-8200-e6579b44624e,7,"""全国生态状况定期遥感调查评估方案""","""全国生态状况调查评估技术规范——生态系统遥感解译与野外核查""","""全国生态状况调查评估技术规范——生态系统遥感解译与野外核查是系列标准之一，与全国生态状况定期遥感调查评估方案同属生态状况调查评估技术规范。""",1.0,11,['0290faec8c84536aecaf0c3b75df845068680594745d4998f81eb60e96d643fbf3ff72bf6c9391867f9c053683f267b1c49e490e1726a92c93a1072331e8327a']
8,148aa9ba-e4e0-4cec-9b73-190370dbd200,8,"""全国生态状况定期遥感调查评估方案""","""生态系统质量评估""","""评估方案为本标准中的生态系统质量评估工作提供政策依据。""",8.0,24,['0290faec8c84536aecaf0c3b75df845068680594745d4998f81eb60e96d643fbf3ff72bf6c9391867f9c053683f267b1c49e490e1726a92c93a1072331e8327a']
9,d2bbad13-6bb3-4659-9908-1a1667435696,9,"""全国生态状况调查评估技术规范——生态系统遥感解译与野外核查""","""生态系统质量评估""","""该技术规范为生态系统质量评估中的遥感解译环节提供标准支持。""",1.0,17,['0290faec8c84536aecaf0c3b75df845068680594745d4998f81eb60e96d643fbf3ff72bf6c9391867f9c053683f267b1c49e490e1726a92c93a1072331e8327a']
10,378ed4a5-c676-41cb-bc65-acfd568dbd84,10,"""全国生态状况调查评估技术规范""","""HJ 1166—2021""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的技术标准体系，其编号为HJ 1166—2021。该规范作为系列技术标准的重要组成部分，专门针对生态系统遥感解译与野外核查工作制定了详细的技术要求和操作指南。其中，HJ 1166—2021标准被明确纳入该技术规范体系，为生态状况调查评估提供了统一的遥感数据解译方法和实地核查技术框架，确保全国范围内生态监测数据的科学性和可比性。通过整合遥感技术与地面验证手段，该标准全面支撑了生态系统现状评估、动态监测及保护修复等工作的标准化实施。,18.0,27,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'ce42c61043d04e8737bd8299c46faf658e114ebaf43b4188b9de8976606945d7f47b78247b19d71ba63c1fe61d632ac3f98a03fbf3f30307367e569572845e40']"
11,d1618330-7510-416d-8250-c304b788e8c5,11,"""全国生态状况调查评估技术规范""","""HJ 1167—2021""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的国家环境保护标准，其编号为HJ 1167—2021。该技术规范是生态状况调查评估领域的重要指导文件，其中包含了对森林生态系统野外观测的具体技术要求和操作标准，属于技术规范系列中的专项组成部分。通过整合调查方法、评估指标和观测流程，该标准为全国范围内的生态状况系统性调查提供了统一的技术框架。,18.0,28,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'ce42c61043d04e8737bd8299c46faf658e114ebaf43b4188b9de8976606945d7f47b78247b19d71ba63c1fe61d632ac3f98a03fbf3f30307367e569572845e40']"
12,7e9d926a-8a93-4340-b28a-8c21816ee671,12,"""全国生态状况调查评估技术规范""","""HJ 1168—2021""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的一项综合性技术标准体系，其中包含编号为HJ 1168—2021的专项标准。该标准作为技术规范系列的重要组成部分，专门针对草地生态系统的野外观测工作制定了详细的技术要求和操作指南。通过将宏观规范框架与具体生态系统观测标准相结合，这一技术规范体系为全国生态状况调查评估提供了系统化的方法论支撑，尤其强调了草地生态系统这一关键领域的标准化观测实践。,10.0,28,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'ce42c61043d04e8737bd8299c46faf658e114ebaf43b4188b9de8976606945d7f47b78247b19d71ba63c1fe61d632ac3f98a03fbf3f30307367e569572845e40']"
13,c97cfe63-c294-4c66-b35f-dbfc64bb4b41,13,"""全国生态状况调查评估技术规范""","""HJ 1169—2021""","""全国生态状况调查评估技术规范包含了HJ 1169—2021这一技术标准。""",9.0,28,['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb']
14,20244ab5-010f-4d9c-ad8b-6f0829d1e7cb,14,"""全国生态状况调查评估技术规范""","""HJ 1170—2021""","""全国生态状况调查评估技术规范包含了HJ 1170—2021这一技术标准。""",1.0,28,['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb']
15,b514179d-b2e5-40cf-886f-e0c57ed1eb9b,15,"""全国生态状况调查评估技术规范""","""生态系统遥感解译与野外核查""","""该规范体系包含遥感解译与核查的技术标准""",10.0,26,['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb']
16,fc564a18-16e5-4699-acc1-8ed0fb29d4ad,16,"""全国生态状况调查评估技术规范""","""森林生态系统野外观测""",《全国生态状况调查评估技术规范》是一套涵盖多领域生态调查评估的标准化技术文件，其中明确包含与森林生态系统野外观测相关的技术标准。该规范体系将森林生态观测作为重要组成部分，通过统一的技术要求和方法指导野外数据采集工作。两份描述共同表明，该规范不仅涉及森林生态观测的具体操作标准，还将其纳入更广泛的生态状况调查评估框架中，二者在内容上存在明确的从属关系且无实质性矛盾。,19.0,27,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'd6f6a59923d26bd7cbf7f5efebdfbf5570ba80967e6f8ae2243887f9a97568a22aeeafe4075efaa6756bd980b623dc672487c8b0e62b6242a76f1e9452bc45ac']"
17,54d7cbf6-6c24-424a-ad42-c09c17ff7784,17,"""全国生态状况调查评估技术规范""","""草地生态系统野外观测""","《全国生态状况调查评估技术规范》是一套涵盖多领域生态调查评估的标准化文件体系，其中明确包含针对草地生态系统野外观测的技术标准与操作规范。该规范体系将草地生态观测作为重要组成部分，通过统一的技术标准指导野外数据采集、监测流程及评估方法，确保全国范围内草地生态观测数据的科学性和可比性。两份描述均指向规范对草地观测的标准化覆盖，不存在实质矛盾，仅存在表述差异（""包含标准""与""包含技术标准""），实际指向同一核心内容——即该规范为草地野外观测提供了系统化的技术框架。",19.0,27,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'd6f6a59923d26bd7cbf7f5efebdfbf5570ba80967e6f8ae2243887f9a97568a22aeeafe4075efaa6756bd980b623dc672487c8b0e62b6242a76f1e9452bc45ac']"
18,eb0f2e1d-1c3c-4bf6-a485-b1d61553bdaf,18,"""全国生态状况调查评估技术规范""","""湿地生态系统野外观测""",《全国生态状况调查评估技术规范》是一套涵盖湿地生态系统野外观测标准的综合性技术规范体系。该规范明确将湿地生态观测纳入其技术标准框架，系统规定了湿地野外观测的操作流程、指标体系和评估方法，为全国范围内的湿地生态系统调查提供了统一的技术依据。两部描述均指向该规范对湿地观测的标准化要求，不存在矛盾，而是相互补充地强调了规范在湿地生态领域的具体应用内容。,19.0,27,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'd6f6a59923d26bd7cbf7f5efebdfbf5570ba80967e6f8ae2243887f9a97568a22aeeafe4075efaa6756bd980b623dc672487c8b0e62b6242a76f1e9452bc45ac']"
19,8f90341b-211a-417f-b27b-266cc078e69a,19,"""全国生态状况调查评估技术规范""","""荒漠生态系统野外观测""",《全国生态状况调查评估技术规范》是一套涵盖多领域生态调查评估的标准体系，其中明确包含针对荒漠生态系统野外观测的技术规范。该规范体系将荒漠生态观测作为重要组成部分，详细制定了相关技术标准，为荒漠生态系统的科学监测与评估提供了统一的方法论依据。两份描述共同表明，该技术规范通过系统整合荒漠生态观测标准，实现了对特殊生态系统调查评估的标准化覆盖。,19.0,27,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'd6f6a59923d26bd7cbf7f5efebdfbf5570ba80967e6f8ae2243887f9a97568a22aeeafe4075efaa6756bd980b623dc672487c8b0e62b6242a76f1e9452bc45ac']"
20,2087a91f-d294-4536-bfcb-31c73b9b7d4a,20,"""全国生态状况调查评估技术规范""","""生态系统格局评估""",《全国生态状况调查评估技术规范》是一套系统性的技术标准体系，其中明确包含了关于生态系统格局评估的相关标准与规范。该规范将生态系统格局评估作为其核心组成部分之一，通过统一的技术框架和方法论，为全国范围内的生态状况调查与评估工作提供标准化指导。两份描述共同表明，生态系统格局评估在该规范中既作为独立的技术模块存在，同时也被整合于整体规范体系内，二者在内容与功能上具有明确的从属关系，不存在实质性的表述矛盾。,10.0,27,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'd6f6a59923d26bd7cbf7f5efebdfbf5570ba80967e6f8ae2243887f9a97568a22aeeafe4075efaa6756bd980b623dc672487c8b0e62b6242a76f1e9452bc45ac']"
21,2fc0b478-c15d-4a70-a116-e1195d1e3aad,21,"""生态环境部自然生态保护司""","""全国生态状况调查评估技术规范""",生态环境部自然生态保护司是负责全国生态状况调查评估技术规范的制定与发布工作的机构。该司组织制订了相关技术规范，并承担后续的发布职责，确保全国生态状况调查评估工作的标准化和规范化。两项描述均指向同一职能，不存在矛盾，共同强调了该司在技术规范制定与发布中的核心作用。,10.0,33,"['c1dec8cf0f2df4446ed973b93495998403c1680c0abd56a51f658322d9dedb1d6454e5d65b97668727d7a5f33484d97043821ef5abba0997bedacd356a7a3f7c'
 'aa3aea36a9e7b7b29d0121e8226848ae2c79e6420a4e900710645b64b34be3ee9c5d7709abf75f27780c9940c32d64ec1c479c3b2ef8dbf81809ffc479bdddca']"
22,1cdced50-c2e0-461c-b9e4-a33d50eeea19,22,"""生态环境部自然生态保护司""","""HJ 1169—2021""","""生态环境部自然生态保护司发布《森林生态系统野外观测》技术规范""",8.0,11,['c1dec8cf0f2df4446ed973b93495998403c1680c0abd56a51f658322d9dedb1d6454e5d65b97668727d7a5f33484d97043821ef5abba0997bedacd356a7a3f7c']
23,34a269ff-f57a-47a4-a9e0-7a3d479ee4e4,23,"""生态环境部自然生态保护司""","""HJ 1170—2021""","""生态环境部自然生态保护司发布《荒漠生态系统野外观测》技术规范""",8.0,11,['c1dec8cf0f2df4446ed973b93495998403c1680c0abd56a51f658322d9dedb1d6454e5d65b97668727d7a5f33484d97043821ef5abba0997bedacd356a7a3f7c']
24,821cef36-bbb3-4c99-bb73-5df57f40c228,24,"""生态环境部自然生态保护司""","""HJ 1171—2021""","""生态环境部自然生态保护司发布《生态系统格局评估》技术规范""",8.0,11,['c1dec8cf0f2df4446ed973b93495998403c1680c0abd56a51f658322d9dedb1d6454e5d65b97668727d7a5f33484d97043821ef5abba0997bedacd356a7a3f7c']
25,b0fc3ed2-0f90-418e-92e1-9fc75bda3e77,25,"""生态环境部自然生态保护司""","""HJ 1173—2021""","""生态环境部自然生态保护司发布《生态系统服务功能评估》技术规范""",8.0,10,['c1dec8cf0f2df4446ed973b93495998403c1680c0abd56a51f658322d9dedb1d6454e5d65b97668727d7a5f33484d97043821ef5abba0997bedacd356a7a3f7c']
26,680312f7-1e5b-4bd1-97ef-543107abdd1d,26,"""生态环境部自然生态保护司""","""HJ 1174—2021""","""生态环境部自然生态保护司发布《生态问题评估》技术规范""",8.0,10,['c1dec8cf0f2df4446ed973b93495998403c1680c0abd56a51f658322d9dedb1d6454e5d65b97668727d7a5f33484d97043821ef5abba0997bedacd356a7a3f7c']
27,42f584ca-d51e-4613-aef2-ac415521befe,27,"""生态环境部自然生态保护司""","""HJ 1175—2021""","""生态环境部自然生态保护司发布《项目尺度生态影响评估》技术规范""",8.0,10,['c1dec8cf0f2df4446ed973b93495998403c1680c0abd56a51f658322d9dedb1d6454e5d65b97668727d7a5f33484d97043821ef5abba0997bedacd356a7a3f7c']
28,39740c54-d5ce-4029-9a6a-4eb68b5e3964,28,"""生态环境部自然生态保护司""","""HJ 1176—2021""","""生态环境部自然生态保护司发布《数据质量控制与集成》技术规范""",1.0,17,['c1dec8cf0f2df4446ed973b93495998403c1680c0abd56a51f658322d9dedb1d6454e5d65b97668727d7a5f33484d97043821ef5abba0997bedacd356a7a3f7c']
29,4f11a517-5bae-47c7-82f8-05ca070d838c,29,"""生态系统质量""","""叶面积指数""","""叶面积指数是评估生态系统质量的重要指标之一。""",8.0,12,['518018d5d72d0af6e2f1e793a715e487e898b819bcd6030a163c3882a369423d03b88fdf92a47617027ee9df3849613290dbd08e1ed39155ab8bb89eb1b33d4a']
30,0cc97a61-de2f-47b9-ae50-0cb7f57db0b5,30,"""生态系统质量""","""总初级生产力""","""总初级生产力反映了生态系统的光合作用能力，是生态系统质量的重要衡量标准。""",1.0,15,['518018d5d72d0af6e2f1e793a715e487e898b819bcd6030a163c3882a369423d03b88fdf92a47617027ee9df3849613290dbd08e1ed39155ab8bb89eb1b33d4a']
31,93924818-66da-404d-82fb-4fca0c437621,31,"""生态环境状况评价技术规范""","""HJ 192""","""HJ 192是生态环境状况评价技术规范的制定和发布机构。""",1.0,2,['518018d5d72d0af6e2f1e793a715e487e898b819bcd6030a163c3882a369423d03b88fdf92a47617027ee9df3849613290dbd08e1ed39155ab8bb89eb1b33d4a']
32,bdae7201-dd49-4e74-b6fe-b3d70c05bd6e,32,"""生态系统质量评估""","""遥感生态参数""","""生态系统质量评估依赖于遥感生态参数作为其技术流程的一部分。""",8.0,21,['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa']
33,ae424c6d-6735-462f-bf08-fba8e4b6897d,33,"""生态系统质量评估""","""生态功能分区""","""生态系统质量评估依赖于生态功能分区作为其技术流程的一部分。""",8.0,21,['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa']
34,14525991-2f3f-4c2e-aa6c-2913f18b3655,34,"""遥感生态参数""","""生态功能分区""","""遥感生态参数和生态功能分区都是通过数据预处理从遥感数据和其他辅助信息中提取的，共同用于生态系统质量评估。""",1.0,12,['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa']
35,521ee504-28f2-46d9-9a0c-0de3242a5a6e,35,"""遥感生态参数""","""数据预处理""","""数据预处理生成遥感生态参数作为输出结果。""",9.0,8,['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa']
36,6531ae29-3246-4b81-b03a-835b332876d5,36,"""遥感生态参数""","""植被覆盖度相对密度""",遥感生态参数是一类用于评估生态环境状况的指标集合，其中植被覆盖度相对密度是其重要的评估指标之一。遥感生态参数通过特定的计算方法或模型来量化植被覆盖度相对密度，从而为生态监测和分析提供数据支持。两者之间存在明确的关联性：遥感生态参数既包含植被覆盖度相对密度作为其组成部分，同时也为计算该指标提供了技术手段。,16.0,10,"['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa'
 '50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']"
37,a8200181-1b93-4702-af21-52dd58c6e69a,37,"""遥感生态参数""","""叶面积指数相对密度""",遥感生态参数是一类通过遥感技术获取的生态评估指标，其中叶面积指数相对密度是其重要组成部分之一。作为评估生态系统状况的关键参数，遥感生态参数不仅包含叶面积指数相对密度这一具体指标，同时也为计算叶面积指数相对密度提供了数据基础和方法支持。这两个概念之间存在双向关联：叶面积指数相对密度既是遥感生态参数的构成要素，又是其具体应用的计算结果，共同服务于生态环境监测与量化分析。,16.0,10,"['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa'
 '50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']"
38,a23c85f3-0c20-4de8-aa2e-d9a2268c94c3,38,"""遥感生态参数""","""总初级生产力相对密度""",遥感生态参数是一类通过遥感技术获取的生态评估指标，其中总初级生产力相对密度是其核心组成部分之一。作为评估生态系统生产力的重要参数，总初级生产力相对密度的计算依赖于遥感生态参数提供的技术框架和数据支持。两者具有明确的从属关系：遥感生态参数既包含总初级生产力相对密度作为子指标，同时也为后者的量化分析提供方法论基础。这种双向关系表明，遥感生态参数在功能上既是总初级生产力相对密度的载体，也是其实现计算的必要条件。,16.0,10,"['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa'
 '50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']"
39,344a1986-dfdb-431b-8abd-b228dcac8f76,39,"""生态功能分区""","""数据预处理""","""数据预处理生成生态功能分区作为输出结果。""",9.0,8,['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa']
40,a044aa84-c8d2-4f5b-af0c-52cb3c47f8c9,40,"""生态功能分区""","""植被覆盖度相对密度""",生态功能分区与植被覆盖度相对密度之间存在密切的关联。生态功能分区涉及对植被覆盖度相对密度的评估，并且这一分区方法被用于计算植被覆盖度相对密度。两者相互依存，生态功能分区的过程需要依赖植被覆盖度相对密度的数据，而植被覆盖度相对密度的计算则通过生态功能分区的方法来实现。,17.0,10,"['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa'
 '50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']"
41,87effb9d-a560-4faa-856c-98ef612931e7,41,"""生态功能分区""","""叶面积指数相对密度""",生态功能分区与叶面积指数相对密度之间存在相互关联的关系。生态功能分区涉及对叶面积指数相对密度的评估，同时这一分区方法也被用于计算叶面积指数相对密度。这两个概念在生态评估和分析中相互支持，前者为后者提供框架和基础，而后者则是前者评估过程中的重要指标之一。,17.0,10,"['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa'
 '50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']"
42,8342c590-feb0-412d-85e1-011e39178863,42,"""生态功能分区""","""总初级生产力相对密度""",生态功能分区是一种涉及评估和计算总初级生产力相对密度的地理或生态划分方法。该分区不仅用于分析总初级生产力相对密度的分布特征，还通过系统评估这一指标来支持生态功能的分类与管理。两者之间存在明确的关联性：生态功能分区的实施依赖于总初级生产力相对密度的数据，而该密度的计算又需要基于分区的框架进行。因此，生态功能分区与总初级生产力相对密度是相互依存、协同作用的生态评估工具。,10.0,10,"['56b45e5060e91c4a97c08ff1f6091ffd47fa5d162512781c51a1ce898b3f774a9d977569999ea11086e60109366f2197b7c70ec139e60190f528d67dc7c447fa'
 '50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']"
43,127940b6-bf19-47be-be8c-bebe4a101b9c,43,"""植被覆盖度相对密度""","""生态系统质量""","""植被覆盖度相对密度直接影响生态系统质量的评估结果。""",10.0,10,['50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']
44,5673b371-7e01-4519-8f2e-b01e128352a0,44,"""植被覆盖度相对密度""","""植被覆盖度""","""植被覆盖度是计算植被覆盖度相对密度的基础参数。""",9.0,13,['50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']
45,97c0a718-9227-46a2-bfba-26b07145da84,45,"""叶面积指数相对密度""","""生态系统质量""","""叶面积指数相对密度直接影响生态系统质量的评估结果。""",10.0,10,['50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']
46,7d916816-f5a2-41e8-99ee-a208e236d414,46,"""叶面积指数相对密度""","""叶面积指数""","""叶面积指数是计算叶面积指数相对密度的基础参数。""",9.0,10,['50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']
47,97376fe6-110f-4083-bba3-01ec51a3c766,47,"""总初级生产力相对密度""","""生态系统质量""","""总初级生产力相对密度直接影响生态系统质量的评估结果。""",10.0,10,['50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']
48,3edbf533-b902-4ff7-8ef7-569329770263,48,"""总初级生产力相对密度""","""总初级生产力""","""总初级生产力是计算总初级生产力相对密度的基础参数。""",1.0,13,['50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']
49,04719149-231e-41ba-bee2-ea1bc7c69913,49,"""生态系统质量""","""生态系统质量分级""","""生态系统质量是进行生态系统质量分级的基础。""",1.0,8,['50afbee674c4abd373c9a402a6accadfe9db0a9d938a974dcc2c094bf6faa7049ee2671e89b777f399cfa564bd2549d7adb5cfe9181d1024c816986471141d24']
50,17904643-c932-49dc-815a-7751a09dcdf2,50,"""生态系统质量评估""","""全国生态功能区划""","""生态系统质量评估使用《全国生态功能区划》的分区边界作为参照标准。""",8.0,16,['48160741fe8f890afab79cf9c29faf992568c7cdc8a1254dd2c835989d5e28d96486556ac774b53f63159427e5cad983cc30bc32c5a7b8b4513a27032c2288df']
